corpus,doc_id,sent_id,eg_id,index,text,causal_text_w_pairs,num_rs
cnc,train_1000_10000,10000,0,cnc_train_100_1000_10000_10,"'the state be alleged they make up hacked sabata petros make up chale , astatine 39 , to death in marikana west along , on be atomic number december 8 destruction , assignation along 2016 , be allegedly over united states department of state the make up sign of the zodiac allocation of low eight cost rdp houses at marikana west cut sign of the zodiac extension 2 astatine '","['the state be alleged <ARG1>they make up hacked sabata petros make up chale , astatine 39 , to death in marikana west along , on be atomic number december 8 destruction , assignation along 2016</ARG1> , be allegedly <SIG0>over</SIG0> united states department of state <ARG0>the make up sign of the zodiac allocation of low eight cost rdp houses at marikana west cut sign of the zodiac extension 2</ARG0> astatine ']",1
cnc,train_1001_10001,10001,0,cnc_train_101_1001_10001_10,"'the state alleged they hacked sabata petros chale , 39 , to death in marikana west , on december 8 , 2016 , allegedly over the allocation of low cost rdp houses at marikana west extension 2 '","['the state alleged <ARG1>they hacked sabata petros chale , 39 , to death in marikana west , on december 8 , 2016</ARG1> , allegedly <SIG0>over</SIG0> <ARG0>the allocation of low cost rdp houses at marikana west extension 2</ARG0> ']",1
cnc,train_1002_10002,10002,0,cnc_train_102_1002_10002_10,"""the farmworkers ' strike strike resumed on tuesday non when strickle make up their make up along demands were not strickle met ""","[""<ARG1>the farmworkers ' strike strike resumed on tuesday</ARG1> non when strickle make up <ARG0>their make up along demands were not strickle met</ARG0> ""]",1
cnc,train_1003_10003,10003,0,cnc_train_103_1003_10003_10,"""the farmworkers ' strike resumed on tuesday when their demands were not met ""","[""<ARG1>the farmworkers ' strike resumed on tuesday</ARG1> when <ARG0>their demands were not met</ARG0> ""]",1
cnc,train_1008_10008,10008,0,cnc_train_108_1008_10008_10,'protesters are angry at the police s slow response to the attack in backside yuen long and make up their law pursuit reception interest stake of the atomic number reception interest case behind longsighted ',['<ARG1>protesters are angry</ARG1> <SIG0>at</SIG0> <ARG0>the police s slow response to the attack in backside yuen long and make up their law pursuit reception interest stake of the atomic number reception interest case</ARG0> behind longsighted '],1
cnc,train_1009_10009,10009,0,cnc_train_109_1009_10009_10,'protesters are angry at the police s slow response to the attack in yuen long and their pursuit of the case ',['<ARG1>protesters are angry</ARG1> <SIG0>at</SIG0> <ARG0>the police s slow response to the attack in yuen long and their pursuit of the case</ARG0> '],1
cnc,train_1010_10010,10010,0,cnc_train_110_1010_10010_10,'the wildness in yuen long has heightened tautness and care of further attacks ',['<ARG0>the wildness in yuen long</ARG0> <SIG0>has <ARG1>heightened</SIG0> tautness and care of further attacks</ARG1> '],1
cnc,train_1011_10011,10011,0,cnc_train_111_1011_10011_10,'the violence in yuen long has heightened tensions and fears of further attacks ',['<ARG0>the violence in yuen long</ARG0> <SIG0>has <ARG1>heightened</SIG0> tensions and fears of further attacks</ARG1> '],1
cnc,train_1014_10014,10014,0,cnc_train_114_1014_10014_10,"'hailey leung , a university scholar who has been pay heed the protestation this summertime , enjoin the venerate of the bunch is decidedly solid than the venerate of the purpose of furiousness of the constabulary her rear have been supportive of the protestation but , since the furiousness in yuen long , they have inquire her not to attend '","['hailey leung , a university scholar who has been pay heed the protestation this summertime , enjoin the venerate of the bunch is decidedly solid than the venerate of the purpose of furiousness of the constabulary her rear have been supportive of the protestation but , <SIG0>since</SIG0> <ARG0>the furiousness in yuen long</ARG0> , <ARG1>they have inquire her not to attend</ARG1> ']",1
cnc,train_1015_10015,10015,0,cnc_train_115_1015_10015_10,"'hailey leung , a university student who has been attending the protests this summer , said the fear of the gangs is definitely stronger than the fear of the use of violence of the police her parents have been supportive of the protests but , since the violence in yuen long , they have asked her not to attend '","['hailey leung , a university student who has been attending the protests this summer , said the fear of the gangs is definitely stronger than the fear of the use of violence of the police her parents have been supportive of the protests but , <SIG0>since</SIG0> <ARG0>the violence in yuen long</ARG0> , <ARG1>they have asked her not to attend</ARG1> ']",1
