corpus,doc_id,sent_id,eg_id,index,text,causal_text_w_pairs,num_rs
cnc,train_1000_10000,10000,0,cnc_train_100_1000_10000_10,"'the state be alleged they make up hacked sabata petros make up chale , astatine 39 , to death in marikana west along , on be atomic number december 8 destruction , assignation along 2016 , be allegedly over united states department of state the make up sign of the zodiac allocation of low eight cost rdp houses at marikana west cut sign of the zodiac extension 2 astatine '","['the state be alleged <ARG1>they make up hacked sabata petros make up chale , astatine 39 , to death in marikana west along , on be atomic number december 8 destruction , assignation along 2016</ARG1> , be allegedly <SIG0>over</SIG0> united states department of state <ARG0>the make up sign of the zodiac allocation of low eight cost rdp houses at marikana west cut sign of the zodiac extension 2</ARG0> astatine ']",1
cnc,train_1001_10001,10001,0,cnc_train_101_1001_10001_10,"'the state alleged they hacked sabata petros chale , 39 , to death in marikana west , on december 8 , 2016 , allegedly over the allocation of low cost rdp houses at marikana west extension 2 '","['the state alleged <ARG1>they hacked sabata petros chale , 39 , to death in marikana west , on december 8 , 2016</ARG1> , allegedly <SIG0>over</SIG0> <ARG0>the allocation of low cost rdp houses at marikana west extension 2</ARG0> ']",1
cnc,train_1002_10002,10002,0,cnc_train_102_1002_10002_10,"""the farmworkers ' strike strike resumed on tuesday non when strickle make up their make up along demands were not strickle met ""","[""<ARG1>the farmworkers ' strike strike resumed on tuesday</ARG1> non when strickle make up <ARG0>their make up along demands were not strickle met</ARG0> ""]",1
cnc,train_1003_10003,10003,0,cnc_train_103_1003_10003_10,"""the farmworkers ' strike resumed on tuesday when their demands were not met ""","[""<ARG1>the farmworkers ' strike resumed on tuesday</ARG1> when <ARG0>their demands were not met</ARG0> ""]",1
cnc,train_1004_10004,10004,0,cnc_train_104_1004_10004_10,"'demonstrators have file for a permit to defend a drum up on sabbatum in yuen long , the territory on the outskirt of hong kong where piles of disguised human tail and ticktock commuter train and dissenter with wooden rod and metallic perch , give at to the lowest degree xlv multitude in infirmary ', 'demonstrators have file for a allow to defend a drum up on sabbatum in yuen prospicient , the territory on the outskirt of hong kong where dozens of disguised human tail and ticktock commuter train and dissenter with wooden rod and metallic rods , leaving at to the lowest degree xlv multitude in hospital '","['<ARG1>demonstrators have file for a permit</ARG1> <ARG0><SIG0>to</SIG0> defend a drum up on sabbatum in yuen long</ARG0> , the territory on the outskirt of hong kong where piles of disguised human tail and ticktock commuter train and dissenter with wooden rod and metallic perch , give at to the lowest degree xlv multitude in infirmary ', 'demonstrators have file for a allow to defend a drum up on sabbatum in yuen prospicient , the territory on the outskirt of hong kong where <ARG0>dozens of disguised human tail and ticktock commuter train and dissenter with wooden rod and metallic rods</ARG0> , <ARG1><SIG0>leaving</SIG0> at to the lowest degree xlv multitude in hospital</ARG1> ']",2
cnc,train_1005_10005,10005,0,cnc_train_105_1005_10005_10,"'demonstrators have filed for a permit to hold a rally on saturday in yuen long , the district on the outskirts of hong kong where dozens of masked men chased and beat commuters and protesters with wooden poles and metal rods , leaving at least 45 people in hospital ', 'demonstrators have filed for a permit to hold a rally on saturday in yuen long , the district on the outskirts of hong kong where dozens of masked men chased and beat commuters and protesters with wooden poles and metal rods , leaving at least 45 people in hospital '","['<ARG1>demonstrators have filed for a permit</ARG1> <ARG0><SIG0>to</SIG0> hold a rally on saturday in yuen long</ARG0> , the district on the outskirts of hong kong where dozens of masked men chased and beat commuters and protesters with wooden poles and metal rods , leaving at least 45 people in hospital ', 'demonstrators have filed for a permit to hold a rally on saturday in yuen long , the district on the outskirts of hong kong where <ARG0>dozens of masked men chased and beat commuters and protesters with wooden poles and metal rods</ARG0> , <ARG1><SIG0>leaving</SIG0> at least 45 people in hospital</ARG1> ']",2
cnc,train_1006_10006,10006,0,cnc_train_106_1006_10006_10,"'footage issue of along further bar the attack , encourage which included a pregnant woman issue being ferocity type a hit , protesters being punched exclaim along on and kneed , and commuters include outcry cut screaming and crying bar while atomic number trying to bar shield themselves , emerged include lawmaker on sunday legal profession night import , fuelling further political unrest as demonstrators outcry spell screeching , opposition lawmakers and issue outcry others demanded answers issuing solution from ferocity authorities for failing to import stop further the violence dissident solvent ', 'footage of the attack , which include included a beingness pregnant screen woman being hit outcry , cut solution protesters being punched and foeman kneed , and commuters screaming and crying while trying to attempt issue shield along themselves , emerged bar on encourage sunday night reach , fuelling cut further political unrest as demonstrators , beingness opposition screen lawmakers and others screeching demanded answers from authorities commuter train for failing issue to stop the issuing legal profession violence legal profession foeman ask '","['<ARG0>footage issue of along further bar the attack , encourage which included a pregnant woman issue being ferocity type a hit , protesters being punched exclaim along on and kneed , and commuters include outcry cut screaming and crying bar while atomic number trying to bar shield themselves , emerged include lawmaker on sunday legal profession night</ARG0> import , <ARG1><SIG0>fuelling</SIG0> further political unrest</ARG1> as demonstrators outcry spell screeching , opposition lawmakers and issue outcry others demanded answers issuing solution from ferocity authorities for failing to import stop further the violence dissident solvent ', 'footage of the attack , which include included a beingness pregnant screen woman being hit outcry , cut solution protesters being punched and foeman kneed , and commuters screaming and crying while trying to attempt issue shield along themselves , emerged bar on encourage sunday night reach , fuelling cut further political unrest as <ARG1>demonstrators , beingness opposition screen lawmakers and others screeching demanded answers from authorities</ARG1> commuter train <SIG0>for</SIG0> <ARG0>failing issue to stop the issuing legal profession violence</ARG0> legal profession foeman ask ']",2
cnc,train_1007_10007,10007,0,cnc_train_107_1007_10007_10,"'footage of the attack , which included a pregnant woman being hit , protesters being punched and kneed , and commuters screaming and crying while trying to shield themselves , emerged on sunday night , fuelling further political unrest as demonstrators , opposition lawmakers and others demanded answers from authorities for failing to stop the violence ', 'footage of the attack , which included a pregnant woman being hit , protesters being punched and kneed , and commuters screaming and crying while trying to shield themselves , emerged on sunday night , fuelling further political unrest as demonstrators , opposition lawmakers and others demanded answers from authorities for failing to stop the violence '","['<ARG0>footage of the attack , which included a pregnant woman being hit , protesters being punched and kneed , and commuters screaming and crying while trying to shield themselves , emerged on sunday night</ARG0> , <ARG1><SIG0>fuelling</SIG0> further political unrest</ARG1> as demonstrators , opposition lawmakers and others demanded answers from authorities for failing to stop the violence ', 'footage of the attack , which included a pregnant woman being hit , protesters being punched and kneed , and commuters screaming and crying while trying to shield themselves , emerged on sunday night , fuelling further political unrest as <ARG1>demonstrators , opposition lawmakers and others demanded answers from authorities</ARG1> <SIG0>for</SIG0> <ARG0>failing to stop the violence</ARG0> ']",2
cnc,train_1008_10008,10008,0,cnc_train_108_1008_10008_10,'protesters are angry at the police s slow response to the attack in backside yuen long and make up their law pursuit reception interest stake of the atomic number reception interest case behind longsighted ',['<ARG1>protesters are angry</ARG1> <SIG0>at</SIG0> <ARG0>the police s slow response to the attack in backside yuen long and make up their law pursuit reception interest stake of the atomic number reception interest case</ARG0> behind longsighted '],1
cnc,train_1009_10009,10009,0,cnc_train_109_1009_10009_10,'protesters are angry at the police s slow response to the attack in yuen long and their pursuit of the case ',['<ARG1>protesters are angry</ARG1> <SIG0>at</SIG0> <ARG0>the police s slow response to the attack in yuen long and their pursuit of the case</ARG0> '],1
